date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1989-07-01,49.54290639235635,48.6370961092194,31.397481423870914,30.98622879046285,8.668017678186985,8.30622688335253,115.22494113220272,112.16080868963444,55.780373321233014,55.195529477076626,19.67306551195966,19.727352753134557
1989-10-01,49.53015459231523,48.81508677319984,31.487813986565257,31.128140619536136,8.581962726509943,8.267993883801573,114.96774967499186,112.1008868186568,56.03154717505886,55.35198454744612,19.665641758560785,19.786812604478015
1990-01-01,49.67258082344678,48.98268582356808,31.61637620301821,31.26403699626485,8.549887394984232,8.229495798685623,114.37989699804199,112.0083154407093,55.9286737721989,55.49413288930145,19.800748706354685,19.84758738604057
1990-04-01,49.74849501621128,49.141944796141445,31.58030478426093,31.39517192139577,8.469891896959195,8.192306932116711,113.63251488674764,111.89003241683378,56.15211588355496,55.6226035495105,19.887920544078224,19.90967842387814
1990-07-01,49.66656517653243,49.295379242001346,31.762043535746827,31.523045161833366,8.263440543822597,8.158168248310584,112.78518557839274,111.7544313285171,56.33641653158277,55.73831462529945,19.92912984807034,19.973057688741584
1990-10-01,49.08142519481467,49.44591899885428,31.615475033419543,31.649299568494214,7.744281643347464,8.128963043355801,111.99964964890879,111.61095461578674,56.44019642408699,55.84253257869648,19.771272764428637,20.03768321140472
1991-01-01,48.747817633760775,49.59676385027133,31.28784171221887,31.775755409412806,7.468001938273994,8.106619024176243,110.65439946650804,111.46963990366424,56.443464913534946,55.93691476631194,19.791332000250353,20.103484909707145
1991-04-01,49.028523295010025,49.750922970163266,31.424190236359216,31.90424105369856,7.4143888016870445,8.092811338159205,109.75207682933883,111.34071663040352,56.38426316153337,56.02350878093697,20.01886883424132,20.17022312232467
1991-07-01,49.15631853056211,49.91090469264513,31.471682128195628,32.036304764176954,7.504818701199009,8.088812154486348,109.35392986425666,111.23385928754088,56.28986685679558,56.1046952118982,20.13032055775924,20.237457095822855
1991-10-01,49.19153817131955,50.07879292836871,31.40976461392213,32.17321605492569,7.68581368522342,8.095480726523787,108.8683597132921,111.15771671602593,56.20293348592337,56.18309616175712,20.214031668808683,20.304644592105028
1992-01-01,49.67055450508202,50.25622350733976,32.00784638737409,32.31590808361007,7.468940612595722,8.113339204820374,107.97507254836525,111.11975139906295,56.19537671105947,56.261465167357926,20.52143848568838,20.37116857585071
1992-04-01,50.09641139487964,50.4442955951126,32.172968315675526,32.46484499253737,7.843259418026937,8.142694912457047,108.14105674168295,111.12600482140347,56.13192091642875,56.34258374467364,20.68490493672568,20.436346888491247
1992-07-01,50.455702543430874,50.643758609153764,32.478521581385145,32.62030629125596,7.869291655853465,8.183483506578703,108.04457889799039,111.18057324388228,56.139366632539584,56.429208247872154,20.84437928595645,20.499583130988988
1992-10-01,50.82633073952521,50.85515942980526,32.76843006640619,32.782394069199974,8.048781938615699,8.235492729278445,108.39744153233863,111.28572674174403,56.13208322454512,56.52398076342297,20.95399116696417,20.560429527364974
1993-01-01,50.78217392618773,51.078941338130115,32.82252365674009,32.951125000219655,8.178843616440211,8.298344801689252,109.08843789718713,111.44181794699239,56.19954203058952,56.629381566746595,20.84072975533091,20.618648917628256
1993-04-01,50.960221955562645,51.31554356315558,33.070037562185824,33.12650943589984,8.191422006527338,8.371568472605947,110.07589340355051,111.64743545207757,56.309326271743046,56.74766752339117,20.777463487402823,20.674247667210782
1993-07-01,51.06899905950914,51.565232248817004,33.297440812502195,33.30847856186957,8.131832002008865,8.45463147839884,110.43451582185268,111.89973063933938,56.40046052387265,56.88085084016584,20.766081447005572,20.727372251004702
1993-10-01,51.61703245397705,51.82806026223562,33.50486351480924,33.49692815978366,8.486454446693621,8.546890461805678,111.16896365608665,112.19489391454303,56.46232448228199,57.03069621352657,20.890673038302346,20.778236472306858
